profile,mode,target,trial,LCP_ms,FCP_ms,successCount,canceledCount,resources
tc_profile,prefail,Medium,1,544.00,344.00,14,0,"[{""requestId"":""6EE5E5BD113D9CB0BC77815D8BA487C6"",""url"":""https://attack.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""errorText"":null,""encodedDataLength"":959},{""requestId"":""B1C770D82EABAFC716749A36CB8DB15E"",""url"":""https://victim.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""errorText"":null,""encodedDataLength"":580},{""requestId"":""C26873D1A9209E69D3DF227B716BBCC8"",""url"":""https://depth.lab-ish.com/"",""type"":""Document"",""status"":""success"",""errorText"":null,""encodedDataLength"":1221},{""requestId"":""67208.4"",""url"":""https://depth.lab-ish.com/assets/app-medium.css"",""type"":""Stylesheet"",""status"":""success"",""errorText"":null,""encodedDataLength"":193},{""requestId"":""67208.5"",""url"":""https://depth.lab-ish.com/assets/medium_1.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215480},{""requestId"":""67208.6"",""url"":""https://depth.lab-ish.com/assets/medium_2.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67208.7"",""url"":""https://depth.lab-ish.com/assets/medium_3.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67208.8"",""url"":""https://depth.lab-ish.com/assets/medium_4.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67208.9"",""url"":""https://depth.lab-ish.com/assets/medium_5.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67208.10"",""url"":""https://depth.lab-ish.com/assets/medium_6.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215456},{""requestId"":""67208.11"",""url"":""https://depth.lab-ish.com/assets/medium_7.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67208.12"",""url"":""https://depth.lab-ish.com/assets/medium_8.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215456},{""requestId"":""67208.13"",""url"":""https://depth.lab-ish.com/assets/medium_9.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67208.14"",""url"":""https://depth.lab-ish.com/assets/app-medium.js"",""type"":""Script"",""status"":""success"",""errorText"":null,""encodedDataLength"":165},{""requestId"":""67208.26"",""url"":""https://depth.lab-ish.com/favicon.ico"",""type"":""Other"",""status"":""pending"",""errorText"":null,""encodedDataLength"":null}]"
tc_profile,prefail,Medium,2,188.00,104.00,14,0,"[{""requestId"":""5E8FFD1F117657F880E03521DC4E6552"",""url"":""https://attack.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""errorText"":null,""encodedDataLength"":0},{""requestId"":""BC2EAD86F634631ADC9AD16F82810547"",""url"":""https://victim.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""errorText"":null,""encodedDataLength"":0},{""requestId"":""61C5E90559E038747082122596D8CB0D"",""url"":""https://depth.lab-ish.com/"",""type"":""Document"",""status"":""success"",""errorText"":null,""encodedDataLength"":1099},{""requestId"":""67210.3"",""url"":""https://depth.lab-ish.com/assets/app-medium.css"",""type"":""Stylesheet"",""status"":""success"",""errorText"":null,""encodedDataLength"":148},{""requestId"":""67210.4"",""url"":""https://depth.lab-ish.com/assets/medium_1.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67210.5"",""url"":""https://depth.lab-ish.com/assets/medium_2.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67210.6"",""url"":""https://depth.lab-ish.com/assets/medium_3.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67210.7"",""url"":""https://depth.lab-ish.com/assets/medium_4.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67210.8"",""url"":""https://depth.lab-ish.com/assets/medium_5.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67210.9"",""url"":""https://depth.lab-ish.com/assets/medium_6.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67210.10"",""url"":""https://depth.lab-ish.com/assets/medium_7.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67210.11"",""url"":""https://depth.lab-ish.com/assets/medium_8.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67210.12"",""url"":""https://depth.lab-ish.com/assets/medium_9.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67210.13"",""url"":""https://depth.lab-ish.com/assets/app-medium.js"",""type"":""Script"",""status"":""success"",""errorText"":null,""encodedDataLength"":110},{""requestId"":""67210.25"",""url"":""https://depth.lab-ish.com/favicon.ico"",""type"":""Other"",""status"":""pending"",""errorText"":null,""encodedDataLength"":null}]"
tc_profile,prefail,Medium,3,216.00,116.00,14,0,"[{""requestId"":""19E975C5B6A82EF08C832601DF98713F"",""url"":""https://attack.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""errorText"":null,""encodedDataLength"":0},{""requestId"":""5E489A148E9E531EEC9D12537B82BFC2"",""url"":""https://victim.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""errorText"":null,""encodedDataLength"":0},{""requestId"":""779DA07060499B3F8D9B133D878658EC"",""url"":""https://depth.lab-ish.com/"",""type"":""Document"",""status"":""success"",""errorText"":null,""encodedDataLength"":1099},{""requestId"":""67214.3"",""url"":""https://depth.lab-ish.com/assets/app-medium.css"",""type"":""Stylesheet"",""status"":""success"",""errorText"":null,""encodedDataLength"":148},{""requestId"":""67214.4"",""url"":""https://depth.lab-ish.com/assets/medium_1.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67214.5"",""url"":""https://depth.lab-ish.com/assets/medium_2.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67214.6"",""url"":""https://depth.lab-ish.com/assets/medium_3.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67214.7"",""url"":""https://depth.lab-ish.com/assets/medium_4.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67214.8"",""url"":""https://depth.lab-ish.com/assets/medium_5.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67214.9"",""url"":""https://depth.lab-ish.com/assets/medium_6.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67214.10"",""url"":""https://depth.lab-ish.com/assets/medium_7.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67214.11"",""url"":""https://depth.lab-ish.com/assets/medium_8.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67214.12"",""url"":""https://depth.lab-ish.com/assets/medium_9.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67214.13"",""url"":""https://depth.lab-ish.com/assets/app-medium.js"",""type"":""Script"",""status"":""success"",""errorText"":null,""encodedDataLength"":110},{""requestId"":""67214.25"",""url"":""https://depth.lab-ish.com/favicon.ico"",""type"":""Other"",""status"":""pending"",""errorText"":null,""encodedDataLength"":null}]"
tc_profile,prefail,Medium,4,152.00,104.00,14,0,"[{""requestId"":""78AF91833DAD305C4046B8951CE78770"",""url"":""https://attack.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""errorText"":null,""encodedDataLength"":0},{""requestId"":""FB995497C141A63A97D57BB05EBC266C"",""url"":""https://victim.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""errorText"":null,""encodedDataLength"":0},{""requestId"":""EB6820E98782AF0061FC91381F1B14BF"",""url"":""https://depth.lab-ish.com/"",""type"":""Document"",""status"":""success"",""errorText"":null,""encodedDataLength"":1099},{""requestId"":""67218.3"",""url"":""https://depth.lab-ish.com/assets/app-medium.css"",""type"":""Stylesheet"",""status"":""success"",""errorText"":null,""encodedDataLength"":148},{""requestId"":""67218.4"",""url"":""https://depth.lab-ish.com/assets/medium_1.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67218.5"",""url"":""https://depth.lab-ish.com/assets/medium_2.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67218.6"",""url"":""https://depth.lab-ish.com/assets/medium_3.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67218.7"",""url"":""https://depth.lab-ish.com/assets/medium_4.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67218.8"",""url"":""https://depth.lab-ish.com/assets/medium_5.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67218.9"",""url"":""https://depth.lab-ish.com/assets/medium_6.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67218.10"",""url"":""https://depth.lab-ish.com/assets/medium_7.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67218.11"",""url"":""https://depth.lab-ish.com/assets/medium_8.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67218.12"",""url"":""https://depth.lab-ish.com/assets/medium_9.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67218.13"",""url"":""https://depth.lab-ish.com/assets/app-medium.js"",""type"":""Script"",""status"":""success"",""errorText"":null,""encodedDataLength"":110},{""requestId"":""67218.25"",""url"":""https://depth.lab-ish.com/favicon.ico"",""type"":""Other"",""status"":""pending"",""errorText"":null,""encodedDataLength"":null}]"
tc_profile,prefail,Medium,5,244.00,128.00,14,0,"[{""requestId"":""926F2A0F0CB3833F18D463C395DAE23B"",""url"":""https://attack.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""errorText"":null,""encodedDataLength"":0},{""requestId"":""053AFAE0AA6F0DBE075056676D7D3AB8"",""url"":""https://victim.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""errorText"":null,""encodedDataLength"":0},{""requestId"":""1F2A502B3BFBA6378820A03476FF44B0"",""url"":""https://depth.lab-ish.com/"",""type"":""Document"",""status"":""success"",""errorText"":null,""encodedDataLength"":1099},{""requestId"":""67222.3"",""url"":""https://depth.lab-ish.com/assets/app-medium.css"",""type"":""Stylesheet"",""status"":""success"",""errorText"":null,""encodedDataLength"":148},{""requestId"":""67222.4"",""url"":""https://depth.lab-ish.com/assets/medium_1.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67222.5"",""url"":""https://depth.lab-ish.com/assets/medium_2.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67222.6"",""url"":""https://depth.lab-ish.com/assets/medium_3.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67222.7"",""url"":""https://depth.lab-ish.com/assets/medium_4.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67222.8"",""url"":""https://depth.lab-ish.com/assets/medium_5.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67222.9"",""url"":""https://depth.lab-ish.com/assets/medium_6.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67222.10"",""url"":""https://depth.lab-ish.com/assets/medium_7.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67222.11"",""url"":""https://depth.lab-ish.com/assets/medium_8.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67222.12"",""url"":""https://depth.lab-ish.com/assets/medium_9.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67222.13"",""url"":""https://depth.lab-ish.com/assets/app-medium.js"",""type"":""Script"",""status"":""success"",""errorText"":null,""encodedDataLength"":110},{""requestId"":""67222.25"",""url"":""https://depth.lab-ish.com/favicon.ico"",""type"":""Other"",""status"":""pending"",""errorText"":null,""encodedDataLength"":null}]"
tc_profile,prefail,Medium,6,204.00,120.00,14,0,"[{""requestId"":""557530DE018CF5FE0E5B431FDE9BCF82"",""url"":""https://attack.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""errorText"":null,""encodedDataLength"":0},{""requestId"":""F76F27F2FE1E7EB2A2646F6416DA823A"",""url"":""https://victim.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""errorText"":null,""encodedDataLength"":0},{""requestId"":""8D1536A335D63B77B2D63FD501AC703C"",""url"":""https://depth.lab-ish.com/"",""type"":""Document"",""status"":""success"",""errorText"":null,""encodedDataLength"":1099},{""requestId"":""67229.3"",""url"":""https://depth.lab-ish.com/assets/app-medium.css"",""type"":""Stylesheet"",""status"":""success"",""errorText"":null,""encodedDataLength"":148},{""requestId"":""67229.4"",""url"":""https://depth.lab-ish.com/assets/medium_1.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67229.5"",""url"":""https://depth.lab-ish.com/assets/medium_2.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67229.6"",""url"":""https://depth.lab-ish.com/assets/medium_3.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67229.7"",""url"":""https://depth.lab-ish.com/assets/medium_4.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67229.8"",""url"":""https://depth.lab-ish.com/assets/medium_5.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215428},{""requestId"":""67229.9"",""url"":""https://depth.lab-ish.com/assets/medium_6.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67229.10"",""url"":""https://depth.lab-ish.com/assets/medium_7.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67229.11"",""url"":""https://depth.lab-ish.com/assets/medium_8.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67229.12"",""url"":""https://depth.lab-ish.com/assets/medium_9.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67229.13"",""url"":""https://depth.lab-ish.com/assets/app-medium.js"",""type"":""Script"",""status"":""success"",""errorText"":null,""encodedDataLength"":110}]"
tc_profile,prefail,Medium,7,168.00,116.00,14,0,"[{""requestId"":""34874999A8C51B52D7470D133604D631"",""url"":""https://attack.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""errorText"":null,""encodedDataLength"":0},{""requestId"":""FB4B625A4C388329C8A5E7FE2D858D94"",""url"":""https://victim.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""errorText"":null,""encodedDataLength"":0},{""requestId"":""30F3A227079408BF1DFDC28E665D4E48"",""url"":""https://depth.lab-ish.com/"",""type"":""Document"",""status"":""success"",""errorText"":null,""encodedDataLength"":1099},{""requestId"":""67233.3"",""url"":""https://depth.lab-ish.com/assets/app-medium.css"",""type"":""Stylesheet"",""status"":""success"",""errorText"":null,""encodedDataLength"":148},{""requestId"":""67233.4"",""url"":""https://depth.lab-ish.com/assets/medium_1.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67233.5"",""url"":""https://depth.lab-ish.com/assets/medium_2.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67233.6"",""url"":""https://depth.lab-ish.com/assets/medium_3.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67233.7"",""url"":""https://depth.lab-ish.com/assets/medium_4.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67233.8"",""url"":""https://depth.lab-ish.com/assets/medium_5.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67233.9"",""url"":""https://depth.lab-ish.com/assets/medium_6.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67233.10"",""url"":""https://depth.lab-ish.com/assets/medium_7.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67233.11"",""url"":""https://depth.lab-ish.com/assets/medium_8.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67233.12"",""url"":""https://depth.lab-ish.com/assets/medium_9.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67233.13"",""url"":""https://depth.lab-ish.com/assets/app-medium.js"",""type"":""Script"",""status"":""success"",""errorText"":null,""encodedDataLength"":110}]"
tc_profile,prefail,Medium,8,152.00,104.00,14,0,"[{""requestId"":""F042422F2B27AE11FD53103F420B9444"",""url"":""https://attack.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""errorText"":null,""encodedDataLength"":0},{""requestId"":""5E13F40352D7C135963C229A6038079B"",""url"":""https://victim.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""errorText"":null,""encodedDataLength"":0},{""requestId"":""9EA02AF7F77DD54C2A798AF3C52FE60F"",""url"":""https://depth.lab-ish.com/"",""type"":""Document"",""status"":""success"",""errorText"":null,""encodedDataLength"":1099},{""requestId"":""67240.3"",""url"":""https://depth.lab-ish.com/assets/app-medium.css"",""type"":""Stylesheet"",""status"":""success"",""errorText"":null,""encodedDataLength"":148},{""requestId"":""67240.4"",""url"":""https://depth.lab-ish.com/assets/medium_1.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67240.5"",""url"":""https://depth.lab-ish.com/assets/medium_2.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67240.6"",""url"":""https://depth.lab-ish.com/assets/medium_3.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67240.7"",""url"":""https://depth.lab-ish.com/assets/medium_4.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67240.8"",""url"":""https://depth.lab-ish.com/assets/medium_5.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67240.9"",""url"":""https://depth.lab-ish.com/assets/medium_6.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67240.10"",""url"":""https://depth.lab-ish.com/assets/medium_7.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67240.11"",""url"":""https://depth.lab-ish.com/assets/medium_8.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67240.12"",""url"":""https://depth.lab-ish.com/assets/medium_9.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67240.13"",""url"":""https://depth.lab-ish.com/assets/app-medium.js"",""type"":""Script"",""status"":""success"",""errorText"":null,""encodedDataLength"":110},{""requestId"":""67240.25"",""url"":""https://depth.lab-ish.com/favicon.ico"",""type"":""Other"",""status"":""pending"",""errorText"":null,""encodedDataLength"":null}]"
tc_profile,prefail,Medium,9,224.00,124.00,14,0,"[{""requestId"":""CB63463D61B3321B4961355792B4AB84"",""url"":""https://attack.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""errorText"":null,""encodedDataLength"":0},{""requestId"":""6992362ADDC139017809112635C29A53"",""url"":""https://victim.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""errorText"":null,""encodedDataLength"":0},{""requestId"":""C730AC95DDE3F1A7E403AB437C5A7313"",""url"":""https://depth.lab-ish.com/"",""type"":""Document"",""status"":""success"",""errorText"":null,""encodedDataLength"":1099},{""requestId"":""67244.3"",""url"":""https://depth.lab-ish.com/assets/app-medium.css"",""type"":""Stylesheet"",""status"":""success"",""errorText"":null,""encodedDataLength"":148},{""requestId"":""67244.4"",""url"":""https://depth.lab-ish.com/assets/medium_1.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67244.5"",""url"":""https://depth.lab-ish.com/assets/medium_2.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67244.6"",""url"":""https://depth.lab-ish.com/assets/medium_3.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67244.7"",""url"":""https://depth.lab-ish.com/assets/medium_4.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67244.8"",""url"":""https://depth.lab-ish.com/assets/medium_5.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67244.9"",""url"":""https://depth.lab-ish.com/assets/medium_6.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67244.10"",""url"":""https://depth.lab-ish.com/assets/medium_7.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67244.11"",""url"":""https://depth.lab-ish.com/assets/medium_8.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67244.12"",""url"":""https://depth.lab-ish.com/assets/medium_9.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67244.13"",""url"":""https://depth.lab-ish.com/assets/app-medium.js"",""type"":""Script"",""status"":""success"",""errorText"":null,""encodedDataLength"":110},{""requestId"":""67244.25"",""url"":""https://depth.lab-ish.com/favicon.ico"",""type"":""Other"",""status"":""pending"",""errorText"":null,""encodedDataLength"":null}]"
tc_profile,prefail,Medium,10,180.00,96.00,14,0,"[{""requestId"":""12BABF8EAA4A96BCFCECE08887E4C7E7"",""url"":""https://attack.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""errorText"":null,""encodedDataLength"":0},{""requestId"":""330A7EB8B686993FA320D321A24E456D"",""url"":""https://victim.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""errorText"":null,""encodedDataLength"":0},{""requestId"":""70B354784B1396CA17C7C8A8F0A129C1"",""url"":""https://depth.lab-ish.com/"",""type"":""Document"",""status"":""success"",""errorText"":null,""encodedDataLength"":1099},{""requestId"":""67253.3"",""url"":""https://depth.lab-ish.com/assets/app-medium.css"",""type"":""Stylesheet"",""status"":""success"",""errorText"":null,""encodedDataLength"":148},{""requestId"":""67253.4"",""url"":""https://depth.lab-ish.com/assets/medium_1.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67253.5"",""url"":""https://depth.lab-ish.com/assets/medium_2.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67253.6"",""url"":""https://depth.lab-ish.com/assets/medium_3.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67253.7"",""url"":""https://depth.lab-ish.com/assets/medium_4.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67253.8"",""url"":""https://depth.lab-ish.com/assets/medium_5.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67253.9"",""url"":""https://depth.lab-ish.com/assets/medium_6.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67253.10"",""url"":""https://depth.lab-ish.com/assets/medium_7.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67253.11"",""url"":""https://depth.lab-ish.com/assets/medium_8.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67253.12"",""url"":""https://depth.lab-ish.com/assets/medium_9.jpg"",""type"":""Image"",""status"":""success"",""errorText"":null,""encodedDataLength"":215419},{""requestId"":""67253.13"",""url"":""https://depth.lab-ish.com/assets/app-medium.js"",""type"":""Script"",""status"":""success"",""errorText"":null,""encodedDataLength"":110},{""requestId"":""67253.25"",""url"":""https://depth.lab-ish.com/favicon.ico"",""type"":""Other"",""status"":""pending"",""errorText"":null,""encodedDataLength"":null}]"
